chr	window_idx	bp	boundary_score
C_gar_LG28	1	100247	
C_gar_LG28	2	110546	
C_gar_LG28	3	118371	
C_gar_LG28	4	126330	
C_gar_LG28	5	132327	0.0665262049549742
C_gar_LG28	6	135618	0.21428321790978
C_gar_LG28	7	145561	0.380831219575921
C_gar_LG28	8	152700	0.472701089351592
C_gar_LG28	9	156118	0.572284773157826
C_gar_LG28	10	216081	0.576794480185268
C_gar_LG28	11	217477	0.574754720416522
C_gar_LG28	12	232115	0.479798999978037
C_gar_LG28	13	234184	0.214095722741749
C_gar_LG28	14	240659	-0.0456039274866399
C_gar_LG28	15	243729	-0.357895242829873
C_gar_LG28	16	247905	-0.518042668650442
C_gar_LG28	17	249715	-0.504143470103149
C_gar_LG28	18	254765	-0.43706905425198
C_gar_LG28	19	267152	-0.42357103020535
C_gar_LG28	20	271790	-0.480999512662864
C_gar_LG28	21	273822	-0.543438422786785
C_gar_LG28	22	274691	-0.509569203964322
C_gar_LG28	23	277638	-0.474772519285513
C_gar_LG28	24	284678	-0.453329987124051
C_gar_LG28	25	433591	-0.402753577975192
C_gar_LG28	26	454888	-0.402753577975192
C_gar_LG28	27	458059	-0.366031291845866
C_gar_LG28	28	465791	-0.366031291845866
C_gar_LG28	29	479999	-0.371572873504263
C_gar_LG28	30	483066	-0.400079110070215
C_gar_LG28	31	485015	-0.417707981062917
C_gar_LG28	32	489083	-0.443169208140568
C_gar_LG28	33	495627	-0.415403048376739
C_gar_LG28	34	524621	-0.287861195532935
C_gar_LG28	35	533680	-0.232385828265635
C_gar_LG28	36	539577	-0.118347112001211
C_gar_LG28	37	545808	-0.115853465422106
C_gar_LG28	38	555439	0.0299576855817092
C_gar_LG28	39	558741	0.28644185352637
C_gar_LG28	40	567997	0.58817394948661
C_gar_LG28	41	571600	0.62737667254835
C_gar_LG28	42	575437	0.634378386633453
C_gar_LG28	43	583958	0.581993768681069
C_gar_LG28	44	591704	0.509675284291142
C_gar_LG28	45	596144	0.306703180773882
C_gar_LG28	46	601481	-0.0769690789969776
C_gar_LG28	47	605206	-0.499449454297158
C_gar_LG28	48	613573	-0.518435108807458
C_gar_LG28	49	614528	-0.430485036459853
C_gar_LG28	50	616003	-0.328033346596164
C_gar_LG28	51	618104	-0.315356532952241
C_gar_LG28	52	619062	-0.306445248433889
C_gar_LG28	53	620682	-0.591652374689666
C_gar_LG28	54	623623	-0.699573670629816
C_gar_LG28	55	628414	-0.699573670629816
C_gar_LG28	56	634161	-0.697993294704703
C_gar_LG28	57	637453	-0.610668349986156
C_gar_LG28	58	644181	-0.479171300059936
C_gar_LG28	59	647693	-0.380679259328716
C_gar_LG28	60	653743	-0.29273771594325
C_gar_LG28	61	661664	-0.124443373391979
C_gar_LG28	62	666880	-0.0228638849770824
C_gar_LG28	63	673173	0.274705555506404
C_gar_LG28	64	676201	0.348859651440841
C_gar_LG28	65	679987	0.372263510948836
C_gar_LG28	66	683266	0.395756323806419
C_gar_LG28	67	686533	0.365376530071235
C_gar_LG28	68	691165	0.11240875869339
C_gar_LG28	69	698208	-0.147141292420184
C_gar_LG28	70	700411	-0.23415490116504
C_gar_LG28	71	702315	-0.306487237300344
C_gar_LG28	72	704396	-0.352195193486379
C_gar_LG28	73	715025	-0.257179057389764
C_gar_LG28	74	720308	-0.275340508423693
C_gar_LG28	75	724936	-0.374217053970328
C_gar_LG28	76	753699	-0.406431190714829
C_gar_LG28	77	764291	-0.412043535743865
C_gar_LG28	78	766481	-0.389568848688559
C_gar_LG28	79	769040	-0.379604436231119
C_gar_LG28	80	770656	-0.342489352374784
C_gar_LG28	81	775130	-0.264411642197186
C_gar_LG28	82	786414	-0.242079025790437
C_gar_LG28	83	793306	-0.180983720305593
C_gar_LG28	84	802830	-0.192902720405938
C_gar_LG28	85	811644	-0.170568648317388
C_gar_LG28	86	819635	0.367167589336764
