chr	candidate_id	start_w	end_w	start_bp	end_bp	n_windows	scale_W	mean_sim	density_p70	density_adaptive	threshold	trim_start_w_original	trim_end_w_original	trim_left_dropped	trim_right_dropped	trim_total_dropped	status
C_gar_LG28	C_gar_LG28_d17L1_0001	1	1106	100247	7527012	1106	1106	0.705848198144673	0.570009384942889								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0002	1107	1178	7516919	7781707	72	72	0.914059415429977	0.96875								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0003	1179	1631	7774424	9458930	453	453	0.655621948940387	0.479048189894206								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0004	1632	1783	9446025	9986642	152	152	0.930968425424015	0.981388504155125								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0005	1784	1955	9971837	10680234	172	172	0.928053135791565	0.9855327203894								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0006	1956	1958	10671399	10688390	3	3	0.991220617239772	1								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0007	1959	2030	10677097	10950973	72	72	0.978961436377431	1								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0008	2031	3136	10933496	14754210	1106	1106	0.441124407302307	0.265734494406639								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0009	3137	3223	14743172	15108180	87	87	0.970387465154839	1								ENVELOPE
C_gar_LG28	C_gar_LG28_d17L1_0010	3224	4302	15087364	20185413	1079	1079	0.641049956845309	0.532143258998781								ENVELOPE
