chr	boundary_idx	boundary_w	boundary_bp	boundary_score	boundary_W	boundary_offset	right_frac_blue	left_frac_blue	right_max_z	left_max_z	right_first_red	left_first_red	right_n_finite	left_n_finite	right_ray_curve	left_ray_curve	perp_status	cross_z_W5	cross_z_W22	cross_z_W43	cross_z_W86	cross_z_W172	cross_z_W301	grow_max_z	grow_largest_W	grow_z_at_largest	resolved_real_max	resolved_fake_min	grow_status	validation_status
C_gar_LG28	C_gar_LG28_d17L1_b0001	808	6205932	3.43999347264235	5	5	1	0.95	-1.63615699175265	0.424851893938829			20	20	-1.6,-2.0,-4.7,-4.5,-4.0,-3.7,-3.5,-3.1,-3.0,-2.7,-2.4	+0.4,-0.9,-0.7,-1.6,-0.7,-0.6,-0.5,-0.8,-0.8,-0.7,-0.7	STABLE_BLUE	-3.43999347264235	-1.17284948392441	-0.629118041823503	-0.0371269902716223	0.207073294547872	0.461142087833209	0.461142087833209	301	0.461142087833209	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0002	809	6210636	3.43999347264235	5	5	1	0.8	-1.17401557588006	0.180351715345968			20	20	-1.2,-2.8,-4.5,-3.8,-3.4,-3.1,-2.8,-2.5,-2.4,-2.1,-1.6	-1.6,-0.6,+0.2,+0.2,-0.5,-0.2,-0.1,+0.0,-0.0,-0.2,-0.3	STABLE_BLUE	-3.43999347264235	-1.21577391323267	-0.627039591266638	-0.0305108222670434	0.208715537871581	0.459439628236291	0.459439628236291	301	0.459439628236291	-0.613908882619477	0.1	FAKE	DECAYS
C_gar_LG28	C_gar_LG28_d17L1_b0003	1106	7514221	5.30190754070477	5	5	1	0.3	-2.51067227295809	0.318097584198993			20	20	-2.5,-3.9,-3.3,-5.1,-5.1,-4.9,-4.2,-4.0,-3.6,-3.9,-2.7	-1.7,-1.3,-0.8,-0.1,+0.0,+0.0,+0.2,+0.1,+0.2,+0.2,+0.2	MARGINAL	-5.30190754070477	-3.27261815926902	-2.58426951866422	-2.07668461527204	-1.72620887716251	-1.18606278619784	-1.18606278619784	301	-1.18606278619784	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0004	1178	7768556	5.39809348858718	5	5	1	0.1	-0.841692195075835	0.815795537095161		1	20	20	-0.8,-5.3,-7.1,-6.7,-6.0,-5.5,-5.1,-4.8,-4.6,-4.3,-4.0	+0.8,+0.8,+0.3,-0.2,+0.4,+0.4,+0.8,+0.5,+0.3,+0.5,+0.7	DECAYS	-5.39809348858718	-3.19435386862401	-2.2668368095784	-1.85868090526913	-1.7184453273165	-1.25938614394081	-1.25938614394081	301	-1.25938614394081	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0005	1631	9443148	6.23856334982446	5	5	1	0.35	-4.75254631430729	0.775146272580626		4	20	20	-7.4,-6.9,-7.6,-6.5,-6.6,-6.5,-6.1,-5.6,-5.3,-5.0,-4.8	+0.4,+0.4,+0.8,+0.7,-2.2,-2.8,-0.5,+0.5,+0.2,+0.7,-0.2	DECAYS	-6.23856334982446	-3.97858473278384	-3.17734240440155	-2.43803943334829	-1.43895104461481	-0.893818298423696	-0.893818298423696	301	-0.893818298423696	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0006	1632	9446025	6.23856334982446	5	5	1	0.95	-2.65878974157841	0.452163429602263			20	20	-2.7,-5.5,-4.5,-4.1,-4.5,-4.1,-3.8,-3.5,-3.2,-3.1,-2.8	-7.4,-4.8,-3.0,-1.3,-1.8,-0.1,-0.2,-1.9,-1.8,-1.7,-1.6	STABLE_BLUE	-6.23856334982446	-3.87289739789804	-3.15948393360149	-2.4284064743026	-1.44193092199523	-0.894845169514819	-0.894845169514819	301	-0.894845169514819	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0007	1782	9965253	4.7892254953682	5	5	0.95	0	0.379828892845156	0.763753717046193		2	20	20	+0.4,-2.8,-5.0,-5.8,-5.4,-4.8,-4.4,-3.9,-3.9,-3.8,-3.3	+0.3,+0.5,+0.6,+0.7,+0.7,+0.6,+0.4,+0.6,+0.5,+0.6,+0.5	DECAYS	-4.7892254953682	-3.03857972599815	-2.08397585167291	-1.25195112031097	-0.734469085263018	-0.832977449200124	-0.734469085263018	301	-0.832977449200124	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0008	1783	9969126	4.7892254953682	5	5	1	0	-3.00281072370064	0.815134013467745		3	20	20	-4.3,-3.3,-6.5,-5.7,-5.4,-4.6,-4.3,-4.0,-3.8,-4.6,-3.0	+0.4,+0.2,+0.8,+0.8,+0.6,+0.4,+0.3,+0.3,+0.5,+0.5,+0.5	DECAYS	-4.7892254953682	-3.03857972599815	-2.09241241517686	-1.25999723275413	-0.731932133141598	-0.833141338691929	-0.731932133141598	301	-0.833141338691929	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0009	1955	10667875	2.41015112082216	5	5	0.85	0	0.649935530532381	0.76801813232912	2	4	20	20	+0.4,+0.6,-2.0,-3.2,-3.0,-2.3,-2.2,-2.5,-2.4,-2.2,-2.0	+0.0,+0.1,+0.7,+0.4,+0.5,+0.4,+0.2,+0.5,+0.6,+0.4,+0.4	DECAYS	-2.41015112082216	-1.72385813252154	-1.14219910298527	-0.789508579268155	-0.626927455322426	-0.691559665128805	-0.626927455322426	301	-0.691559665128805	-0.613908882619477	0.1	REAL	STABLE_BLUE
C_gar_LG28	C_gar_LG28_d17L1_b0010	1958	10675878	2.41015112082216	5	5	1	0.05	-2.10751295657689	0.760499350463043		4	20	20	-6.3,-4.5,-4.4,-3.4,-2.9,-2.7,-3.0,-2.6,-2.4,-2.3,-2.1	-0.0,+0.1,+0.6,+0.1,+0.8,+0.6,+0.6,+0.5,+0.4,+0.6,+0.6	DECAYS	-2.41015112082216	-1.68333627740534	-1.1224495218239	-0.825222674347563	-0.632525185540255	-0.693865127290865	-0.632525185540255	301	-0.693865127290865	-0.613908882619477	0.1	REAL	STABLE_BLUE
